account,date,daily_pnl,trade_count,avg_trade_size,avg_leverage,long_count,short_count,win_trades,win_rate,long_short_ratio,is_profitable,value,classification,sentiment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,462,12.296536796536797,0.0,139,323,12,0.025974025974025976,0.42901234567901236,0,74.0,Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,3356,16.700055780691297,0.0,1572,1784,1361,0.40554231227651966,0.880672268907563,1,44.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,320,129.5396139866875,0.0,145,175,170,0.53125,0.8238636363636364,1,74.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,3533,851.7958757769601,0.0,1528,2005,1537,0.43504104160769885,0.7617148554336989,1,44.0,Fear,Fear
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,5,40.0,0.0,2,3,0,0.0,0.5,0,50.0,Neutral,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,5,83.09891999999999,0.0,3,2,4,0.8,1.0,1,74.0,Greed,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,1136,25.691708679577467,0.0,506,630,489,0.43045774647887325,0.8019017432646592,1,44.0,Fear,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,6472,2773.3332751515914,0.0,3086,3386,2872,0.4437577255871446,0.911130794213168,1,74.0,Greed,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,6794,1420.918087095279,0.0,3606,3188,2940,0.4327347659699735,1.1307619943555973,1,44.0,Fear,Fear
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,763,33318.957672346005,0.0,305,458,362,0.4744429882044561,0.664488017429194,1,74.0,Greed,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,2471,25288.359009307973,0.0,872,1599,1319,0.5337919870497774,0.545,1,44.0,Fear,Fear
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,3,0.08376666666666666,0.0,3,0,0,0.0,3.0,0,59.0,Greed,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,2,0.5,0.0,2,0,0,0.0,2.0,0,69.0,Greed,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,27,129.52782592592592,0.0,4,23,9,0.3333333333333333,0.16666666666666666,0,84.0,Extreme Greed,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,80,6939.408296498999,0.0,35,45,8,0.1,0.7608695652173914,1,50.0,Neutral,Neutral
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,156,29896.621032429488,0.0,64,92,73,0.46794871794871795,0.6881720430107527,1,74.0,Greed,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,349,997.0207518338108,0.0,66,283,92,0.2636103151862464,0.2323943661971831,0,44.0,Fear,Fear
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,144,270.8673293055556,0.0,59,85,76,0.5277777777777778,0.686046511627907,1,74.0,Greed,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,3445,2488.624521137881,0.0,1589,1856,1100,0.3193033381712627,0.8556812062466344,0,44.0,Fear,Fear
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,191,2712.4343455497383,0.0,112,79,79,0.41361256544502617,1.4,1,74.0,Greed,Greed
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,141,764.2303244170213,0.0,58,83,79,0.5602836879432624,0.6904761904761905,1,44.0,Fear,Fear
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,125,1084.744,0.0,18,107,27,0.216,0.16666666666666666,1,74.0,Greed,Greed
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,258,215.64699596899226,0.0,83,175,63,0.2441860465116279,0.4715909090909091,1,44.0,Fear,Fear
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,88,8550.477272727272,0.0,88,0,0,0.0,88.0,0,84.0,Extreme Greed,Greed
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,249,798.081980342972,0.0,3,246,237,0.9518072289156626,0.012145748987854251,1,50.0,Neutral,Neutral
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,43,2961.211063395349,0.0,0,43,38,0.8837209302325582,0.0,1,74.0,Greed,Greed
