account,date,daily_pnl,trade_count,avg_trade_size,long_count,short_count,win_trades,win_rate,long_short_ratio,is_profitable,value,classification,sentiment
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-14,461.97292000000004,43,2789.288372093023,23,20,30,0.6976744186046512,1.0952380952380953,1,72.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-15,3774.08872,38,6906.421052631579,15,23,35,0.9210526315789473,0.625,1,74.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-16,2467.702221,46,5172.021739130435,31,15,43,0.9347826086956522,1.9375,1,65.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-17,2441.4683999999997,14,1365.2857142857142,13,1,13,0.9285714285714286,6.5,1,67.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-23,360.32138,12,15659.166666666666,2,10,4,0.3333333333333333,0.18181818181818182,1,71.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-03,-13.844579999999999,7,34.0,3,4,1,0.14285714285714285,0.6,0,48.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-05,0.916,2,4.0,1,1,1,0.5,0.5,1,69.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-07,0.0,1,6.0,0,1,0,0.0,0.0,0,68.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-08,1.56576,3,72.66666666666667,2,1,1,0.3333333333333333,1.0,1,64.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-05-23,0.0,1,1.6,0,1,0,0.0,0.0,0,76.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-06-13,-1.40304,1,1.6,1,0,0,0.0,1.0,0,70.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-09,0.01574,7,0.3114285714285714,3,4,3,0.42857142857142855,0.6,1,78.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-10,3634.56814,153,1791.2738954248366,40,113,147,0.9607843137254902,0.3508771929824561,1,78.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-11,1567.4026840000001,23,4086.521739130435,12,11,8,0.34782608695652173,1.0,1,74.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-12,323.34897900000016,52,12218.442307692309,29,23,4,0.07692307692307693,1.2083333333333333,1,83.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-13,8276.625256,26,12881.115384615385,8,18,25,0.9615384615384616,0.42105263157894735,1,76.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-14,-33.03286,36,5104.722222222223,11,25,1,0.027777777777777776,0.4230769230769231,0,83.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-15,126.32543000000001,14,845.1428571428571,1,13,13,0.9285714285714286,0.07142857142857142,1,80.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-16,758.93225,10,1919.98,5,5,4,0.4,0.8333333333333334,1,83.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-17,3146.294798,67,5042.086567164179,38,29,64,0.9552238805970149,1.2666666666666666,1,87.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-18,2507.193252,115,1019.9329565217392,100,15,109,0.9478260869565217,6.25,1,81.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-19,13027.2866,235,43468.384680851064,42,193,205,0.8723404255319149,0.21649484536082475,1,75.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-20,3509.273443,219,2912.4420111415525,202,17,197,0.8995433789954338,11.222222222222221,1,74.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-21,24.404600000000002,8,1386.625,4,4,4,0.5,0.8,1,73.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-12-23,657.693565,51,1621.4117647058824,50,1,50,0.9803921568627451,25.0,1,70.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-02,3429.9583199999997,53,3599.4150943396226,17,36,50,0.9433962264150944,0.4594594594594595,1,70.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-07,11206.706221,232,5713.6551724137935,219,13,221,0.9525862068965517,15.642857142857142,1,78.0,Extreme Greed,Greed
